,mae,rmse,type
K-pneumoniae__Carbapenems__West Midlands,0.2237285843441998,0.25162424923914095,direct
K-pneumoniae__Carbapenems__Yorkshire and Humber,0.13891013480776565,0.15722372467460552,direct
K-pneumoniae__Ciprofloxacin__East Midlands,0.41907483791166766,0.45899877524853894,direct
K-pneumoniae__Ciprofloxacin__East of England,0.49634333727780805,0.513840467418014,direct
K-pneumoniae__Ciprofloxacin__London,0.44934460456533615,0.5363230599949651,direct
K-pneumoniae__Ciprofloxacin__North East,0.4783651989301962,0.4828141425855593,direct
K-pneumoniae__Ciprofloxacin__North West,0.6382112754897783,0.6418806494710197,direct
K-pneumoniae__Ciprofloxacin__South East,0.5987746036176381,0.6715920776704613,direct
K-pneumoniae__Ciprofloxacin__South West,0.6171173266069416,0.6372771532998446,direct
K-pneumoniae__Ciprofloxacin__West Midlands,0.6529210829577516,0.6606988226571595,direct
K-pneumoniae__Ciprofloxacin__Yorkshire and Humber,0.6199213891379476,0.6380289379632011,direct
K-pneumoniae__Co-amoxiclav__East Midlands,0.45649909561922736,0.5364122774981844,direct
K-pneumoniae__Co-amoxiclav__East of England,0.5217473466268553,0.5583064382946832,direct
K-pneumoniae__Co-amoxiclav__London,0.5997008898052409,0.6195132085911136,direct
K-pneumoniae__Co-amoxiclav__North East,0.5132627258525703,0.5452722580658493,direct
K-pneumoniae__Co-amoxiclav__North West,0.6174349946431821,0.6257662048926685,direct
K-pneumoniae__Co-amoxiclav__South East,0.589125428708514,0.6498738806638098,direct
K-pneumoniae__Co-amoxiclav__South West,0.5150461317662292,0.5254388224035275,direct
K-pneumoniae__Co-amoxiclav__West Midlands,0.2813642017358224,0.38300133101224065,direct
K-pneumoniae__Co-amoxiclav__Yorkshire and Humber,0.45262026273361167,0.4759542155880625,direct
K-pneumoniae__Gentamicin__East Midlands,0.4189715689002556,0.4517401685963338,direct
K-pneumoniae__Gentamicin__East of England,0.4669038691160033,0.49284467829480405,direct
K-pneumoniae__Gentamicin__London,0.5816259885519951,0.6089022211227538,direct
K-pneumoniae__Gentamicin__North East,0.44953834159113387,0.47714432225979797,direct
K-pneumoniae__Gentamicin__North West,0.47154163197689225,0.5074683736436767,direct
K-pneumoniae__Gentamicin__South East,0.6587522145952743,0.7448249992400936,direct
K-pneumoniae__Gentamicin__South West,0.516899200059943,0.5581252217777918,direct
K-pneumoniae__Gentamicin__West Midlands,0.3914847871432205,0.4161380903938654,direct
K-pneumoniae__Gentamicin__Yorkshire and Humber,0.5008098406388475,0.5095322648168048,direct
K-pneumoniae__Piperacillin with tazobactam__East Midlands,0.5576670677058837,0.5840527947452643,direct
K-pneumoniae__Piperacillin with tazobactam__East of England,0.5093666261248041,0.5508685023274347,direct
K-pneumoniae__Piperacillin with tazobactam__London,0.6087373533007212,0.6414525527066326,direct
K-pneumoniae__Piperacillin with tazobactam__North East,0.42998127436111433,0.4914487910896663,direct
K-pneumoniae__Piperacillin with tazobactam__North West,0.5965191667671162,0.6057834483244715,direct
K-pneumoniae__Piperacillin with tazobactam__South East,0.6807176437065434,0.7031235416193735,direct
K-pneumoniae__Piperacillin with tazobactam__South West,0.7461633243504704,0.7493921456130609,direct
K-pneumoniae__Piperacillin with tazobactam__West Midlands,0.5967133098436946,0.6004575019277092,direct
K-pneumoniae__Piperacillin with tazobactam__Yorkshire and Humber,0.5856074379447191,0.591780196991381,direct
K-pneumoniae__Third Generation Cephalosporins__East Midlands,0.6344741754472558,0.6457657727459163,direct
K-pneumoniae__Third Generation Cephalosporins__East of England,0.5636973990426111,0.57045711749566,direct
K-pneumoniae__Third Generation Cephalosporins__London,0.5291100496316671,0.5664376858962246,direct
K-pneumoniae__Third Generation Cephalosporins__North East,0.15220770956960838,0.2227414984333824,direct
K-pneumoniae__Third Generation Cephalosporins__North West,0.5715235151679543,0.5976780180571668,direct
K-pneumoniae__Third Generation Cephalosporins__South East,0.5219407889887477,0.5926671364619331,direct
K-pneumoniae__Third Generation Cephalosporins__South West,0.4271414817035673,0.4698449743291142,direct
K-pneumoniae__Third Generation Cephalosporins__West Midlands,0.310572141399941,0.40058256818138743,direct
K-pneumoniae__Third Generation Cephalosporins__Yorkshire and Humber,0.404795450958151,0.4115790214429208,direct
P-aeruginosa__Amikacin__East Midlands,0.3134062368272581,0.37649315536873385,direct
P-aeruginosa__Amikacin__East of England,0.24150371538350676,0.3148281613753045,direct
P-aeruginosa__Amikacin__London,0.2914750926343602,0.37318823555400443,direct
P-aeruginosa__Amikacin__North East,0.16955925711597244,0.17372909092889882,direct
P-aeruginosa__Amikacin__North West,0.30885879310889147,0.33812960782446205,direct
P-aeruginosa__Amikacin__South East,0.5007008779657807,0.6611347632666417,direct
P-aeruginosa__Amikacin__South West,0.43950114111705874,0.5147574484522096,direct
P-aeruginosa__Amikacin__West Midlands,0.206432341964964,0.21755997714657335,direct
P-aeruginosa__Amikacin__Yorkshire and Humber,0.19556003874900832,0.233884809590016,direct
P-aeruginosa__Carbapenems__East Midlands,0.39380081283965257,0.40217953096312514,direct
P-aeruginosa__Carbapenems__East of England,0.21403069582158274,0.2701231588916843,direct
P-aeruginosa__Carbapenems__London,0.11495465806911839,0.137785291594258,direct
P-aeruginosa__Carbapenems__North East,0.12805860231137975,0.1680330206954434,direct
P-aeruginosa__Carbapenems__North West,0.437489438921825,0.46504140631907065,direct
P-aeruginosa__Carbapenems__South East,0.621187190625304,0.6937351428826849,direct
P-aeruginosa__Carbapenems__South West,0.4541843519721985,0.497523479338961,direct
P-aeruginosa__Carbapenems__West Midlands,0.35276007149691135,0.4466077736547642,direct
P-aeruginosa__Carbapenems__Yorkshire and Humber,0.34102194798646024,0.3986504426803332,direct
P-aeruginosa__Ceftazidime__East Midlands,0.37551588606765934,0.43254197104571407,direct
P-aeruginosa__Ceftazidime__East of England,0.13552606916878399,0.1813392976641906,direct
P-aeruginosa__Ceftazidime__London,0.158556389375743,0.2791643453852396,direct
P-aeruginosa__Ceftazidime__North East,0.15573338514122148,0.18869787438220925,direct
P-aeruginosa__Ceftazidime__North West,0.3945766059105133,0.40602037424777143,direct
P-aeruginosa__Ceftazidime__South East,0.548900213488014,0.6304718933816794,direct
P-aeruginosa__Ceftazidime__South West,0.32301882987672537,0.4198632235811465,direct
P-aeruginosa__Ceftazidime__West Midlands,0.36229531931402253,0.3705356482587621,direct
P-aeruginosa__Ceftazidime__Yorkshire and Humber,0.40342952730686366,0.4597380293561034,direct
P-aeruginosa__Ciprofloxacin__East Midlands,0.5676412298812784,0.5934964910968205,direct
P-aeruginosa__Ciprofloxacin__East of England,0.3333268602866176,0.36554027840979936,direct
P-aeruginosa__Ciprofloxacin__London,0.32097331492473524,0.3574368974812205,direct
P-aeruginosa__Ciprofloxacin__North East,0.1131874001538953,0.13730312280373572,direct
P-aeruginosa__Ciprofloxacin__North West,0.4138552447089595,0.41871471808369587,direct
P-aeruginosa__Ciprofloxacin__South East,0.928405436360582,0.9504062738233879,direct
P-aeruginosa__Ciprofloxacin__South West,0.3345480996882904,0.38000789334682983,direct
P-aeruginosa__Ciprofloxacin__West Midlands,0.4553077943694076,0.527580825521806,direct
P-aeruginosa__Ciprofloxacin__Yorkshire and Humber,0.2790121213236858,0.32802333388067817,direct
P-aeruginosa__Piperacillin with tazobactam__East Midlands,0.3693712178808187,0.5032689872334597,direct
P-aeruginosa__Piperacillin with tazobactam__East of England,0.16928031682347325,0.2618440057730157,direct
P-aeruginosa__Piperacillin with tazobactam__London,0.17214818051536945,0.2943097657890211,direct
P-aeruginosa__Piperacillin with tazobactam__North East,0.14248767114205685,0.1980374966526512,direct
