,mae,rmse,type
K-pneumoniae__Carbapenems__South East,0.6106657059125389,0.6834541139186339,recursive
K-pneumoniae__Carbapenems__South West,0.16969939812317636,0.21189740901613535,recursive
K-pneumoniae__Carbapenems__West Midlands,0.28038169201353946,0.3410806642660026,recursive
K-pneumoniae__Carbapenems__Yorkshire and Humber,0.23642668906820558,0.30515313566731944,recursive
K-pneumoniae__Ciprofloxacin__East Midlands,0.43527147998438537,0.4781827816790055,recursive
K-pneumoniae__Ciprofloxacin__East of England,0.5098094855407529,0.534181564086519,recursive
K-pneumoniae__Ciprofloxacin__London,0.37256052678074786,0.43380307190696354,recursive
K-pneumoniae__Ciprofloxacin__North East,0.3722636299781833,0.41741519520585596,recursive
K-pneumoniae__Ciprofloxacin__North West,0.46466035758712726,0.5154952074936573,recursive
K-pneumoniae__Ciprofloxacin__South East,0.5775043121791054,0.6450382952804198,recursive
K-pneumoniae__Ciprofloxacin__South West,0.41584393881821424,0.4715059832875458,recursive
K-pneumoniae__Ciprofloxacin__West Midlands,0.5456464496269817,0.5730858707542639,recursive
K-pneumoniae__Ciprofloxacin__Yorkshire and Humber,0.5908126137562019,0.6095480509156973,recursive
K-pneumoniae__Co-amoxiclav__East Midlands,0.43096492408753967,0.49106532196027863,recursive
K-pneumoniae__Co-amoxiclav__East of England,0.47239235768561433,0.5079409107734892,recursive
K-pneumoniae__Co-amoxiclav__London,0.4559925693882141,0.4901572284773802,recursive
K-pneumoniae__Co-amoxiclav__North East,0.4403860708971431,0.4911866910247327,recursive
K-pneumoniae__Co-amoxiclav__North West,0.5717058405952671,0.5955904357377161,recursive
K-pneumoniae__Co-amoxiclav__South East,0.5598397415243619,0.6128304820201081,recursive
K-pneumoniae__Co-amoxiclav__South West,0.3869907709019729,0.4244170519840439,recursive
K-pneumoniae__Co-amoxiclav__West Midlands,0.303455002271353,0.38411490935270104,recursive
K-pneumoniae__Co-amoxiclav__Yorkshire and Humber,0.41536486991305555,0.46460854588765993,recursive
K-pneumoniae__Gentamicin__East Midlands,0.328568008595991,0.3897429174161316,recursive
K-pneumoniae__Gentamicin__East of England,0.5032281210026583,0.5509920133937283,recursive
K-pneumoniae__Gentamicin__London,0.5302125537372115,0.5439224761195115,recursive
