,organism,antibiotic,region,date,forecast
91,E-coli,Carbapenems,South West,2025-08-01,0.12503666
92,E-coli,Carbapenems,South West,2025-09-01,0.13741863
93,E-coli,Carbapenems,South West,2025-10-01,0.12503666
94,E-coli,Carbapenems,South West,2025-11-01,0.12503666
95,E-coli,Carbapenems,South West,2025-12-01,0.12503666
96,E-coli,Carbapenems,West Midlands,2025-07-01,0.22758676
97,E-coli,Carbapenems,West Midlands,2025-08-01,0.2574095
98,E-coli,Carbapenems,West Midlands,2025-09-01,0.24347529
99,E-coli,Carbapenems,West Midlands,2025-10-01,0.19552784
100,E-coli,Carbapenems,West Midlands,2025-11-01,0.19626866
101,E-coli,Carbapenems,West Midlands,2025-12-01,0.19626866
102,E-coli,Carbapenems,Yorkshire and Humber,2025-07-01,0.16421561
103,E-coli,Carbapenems,Yorkshire and Humber,2025-08-01,0.20022844
104,E-coli,Carbapenems,Yorkshire and Humber,2025-09-01,0.2195867
105,E-coli,Carbapenems,Yorkshire and Humber,2025-10-01,0.1848891
106,E-coli,Carbapenems,Yorkshire and Humber,2025-11-01,0.15549172
107,E-coli,Carbapenems,Yorkshire and Humber,2025-12-01,0.16629466
108,E-coli,Ciprofloxacin,East Midlands,2025-07-01,19.3544
109,E-coli,Ciprofloxacin,East Midlands,2025-08-01,19.029522
110,E-coli,Ciprofloxacin,East Midlands,2025-09-01,19.408842
111,E-coli,Ciprofloxacin,East Midlands,2025-10-01,19.582548
112,E-coli,Ciprofloxacin,East Midlands,2025-11-01,19.842714
113,E-coli,Ciprofloxacin,East Midlands,2025-12-01,19.720695
114,E-coli,Ciprofloxacin,East of England,2025-07-01,16.357779
115,E-coli,Ciprofloxacin,East of England,2025-08-01,16.522495
116,E-coli,Ciprofloxacin,East of England,2025-09-01,16.975134
117,E-coli,Ciprofloxacin,East of England,2025-10-01,17.243107
118,E-coli,Ciprofloxacin,East of England,2025-11-01,17.257338
119,E-coli,Ciprofloxacin,East of England,2025-12-01,17.309397
120,E-coli,Ciprofloxacin,London,2025-07-01,28.698715
121,E-coli,Ciprofloxacin,London,2025-08-01,28.294903
122,E-coli,Ciprofloxacin,London,2025-09-01,27.961025
123,E-coli,Ciprofloxacin,London,2025-10-01,27.965807
124,E-coli,Ciprofloxacin,London,2025-11-01,28.053822
125,E-coli,Ciprofloxacin,London,2025-12-01,28.64915
126,E-coli,Ciprofloxacin,North East,2025-07-01,11.706578
127,E-coli,Ciprofloxacin,North East,2025-08-01,11.754641
128,E-coli,Ciprofloxacin,North East,2025-09-01,12.115118
129,E-coli,Ciprofloxacin,North East,2025-10-01,11.980638
130,E-coli,Ciprofloxacin,North East,2025-11-01,11.847059
131,E-coli,Ciprofloxacin,North East,2025-12-01,11.7265
132,E-coli,Ciprofloxacin,North West,2025-07-01,21.684547
133,E-coli,Ciprofloxacin,North West,2025-08-01,20.730639
134,E-coli,Ciprofloxacin,North West,2025-09-01,20.526144
135,E-coli,Ciprofloxacin,North West,2025-10-01,20.60144
136,E-coli,Ciprofloxacin,North West,2025-11-01,20.82735
137,E-coli,Ciprofloxacin,North West,2025-12-01,20.230888
138,E-coli,Ciprofloxacin,South East,2025-07-01,17.034592
139,E-coli,Ciprofloxacin,South East,2025-08-01,16.9273
140,E-coli,Ciprofloxacin,South East,2025-09-01,16.927603
141,E-coli,Ciprofloxacin,South East,2025-10-01,16.982433
142,E-coli,Ciprofloxacin,South East,2025-11-01,17.0237
143,E-coli,Ciprofloxacin,South East,2025-12-01,17.0237
144,E-coli,Ciprofloxacin,South West,2025-07-01,14.012522
145,E-coli,Ciprofloxacin,South West,2025-08-01,14.314265
146,E-coli,Ciprofloxacin,South West,2025-09-01,14.138308
147,E-coli,Ciprofloxacin,South West,2025-10-01,13.969973
148,E-coli,Ciprofloxacin,South West,2025-11-01,13.910364
149,E-coli,Ciprofloxacin,South West,2025-12-01,13.882634
150,E-coli,Ciprofloxacin,West Midlands,2025-07-01,21.779747
151,E-coli,Ciprofloxacin,West Midlands,2025-08-01,21.880526
152,E-coli,Ciprofloxacin,West Midlands,2025-09-01,22.54407
153,E-coli,Ciprofloxacin,West Midlands,2025-10-01,22.913681
154,E-coli,Ciprofloxacin,West Midlands,2025-11-01,23.849953
155,E-coli,Ciprofloxacin,West Midlands,2025-12-01,23.930819
156,E-coli,Ciprofloxacin,Yorkshire and Humber,2025-07-01,18.68804
157,E-coli,Ciprofloxacin,Yorkshire and Humber,2025-08-01,18.304914
158,E-coli,Ciprofloxacin,Yorkshire and Humber,2025-09-01,18.389362
159,E-coli,Ciprofloxacin,Yorkshire and Humber,2025-10-01,18.53941
160,E-coli,Ciprofloxacin,Yorkshire and Humber,2025-11-01,18.573349
161,E-coli,Ciprofloxacin,Yorkshire and Humber,2025-12-01,18.573349
162,E-coli,Co-amoxiclav,East Midlands,2025-07-01,42.895145
163,E-coli,Co-amoxiclav,East Midlands,2025-08-01,42.220657
164,E-coli,Co-amoxiclav,East Midlands,2025-09-01,42.053753
165,E-coli,Co-amoxiclav,East Midlands,2025-10-01,41.904884
166,E-coli,Co-amoxiclav,East Midlands,2025-11-01,41.5905
167,E-coli,Co-amoxiclav,East Midlands,2025-12-01,41.64929
168,E-coli,Co-amoxiclav,East of England,2025-07-01,39.64033
169,E-coli,Co-amoxiclav,East of England,2025-08-01,40.583637
