,geography,stratum,date,organism,resistance_pct,series_id,model_region,prescribing_rate,month
47,East Midlands,Amikacin,2024-09-01,E-coli,2.37,E-coli__Amikacin__East Midlands,Midlands,1.66,9
48,East Midlands,Amikacin,2024-10-01,E-coli,2.29,E-coli__Amikacin__East Midlands,Midlands,1.65,10
49,East Midlands,Amikacin,2024-11-01,E-coli,3.29,E-coli__Amikacin__East Midlands,Midlands,1.64,11
50,East Midlands,Amikacin,2024-12-01,E-coli,3.42,E-coli__Amikacin__East Midlands,Midlands,1.65,12
51,East Midlands,Amikacin,2025-01-01,E-coli,3.03,E-coli__Amikacin__East Midlands,Midlands,1.63,1
52,East Midlands,Amikacin,2025-02-01,E-coli,2.1,E-coli__Amikacin__East Midlands,Midlands,1.61,2
53,East Midlands,Amikacin,2025-03-01,E-coli,3.1,E-coli__Amikacin__East Midlands,Midlands,1.59,3
54,East Midlands,Amikacin,2025-04-01,E-coli,4.03,E-coli__Amikacin__East Midlands,Midlands,1.57,4
55,East Midlands,Amikacin,2025-05-01,E-coli,4.89,E-coli__Amikacin__East Midlands,Midlands,1.54,5
56,East Midlands,Amikacin,2025-06-01,E-coli,4.42,E-coli__Amikacin__East Midlands,Midlands,1.53,6
57,East of England,Amikacin,2020-10-01,E-coli,2.02,E-coli__Amikacin__East of England,East of England,1.49,10
58,East of England,Amikacin,2020-11-01,E-coli,1.05,E-coli__Amikacin__East of England,East of England,1.45,11
59,East of England,Amikacin,2020-12-01,E-coli,1.0,E-coli__Amikacin__East of England,East of England,1.41,12
60,East of England,Amikacin,2021-01-01,E-coli,1.19,E-coli__Amikacin__East of England,East of England,1.34,1
61,East of England,Amikacin,2021-02-01,E-coli,2.39,E-coli__Amikacin__East of England,East of England,1.3,2
62,East of England,Amikacin,2021-03-01,E-coli,2.68,E-coli__Amikacin__East of England,East of England,1.27,3
63,East of England,Amikacin,2021-04-01,E-coli,3.9,E-coli__Amikacin__East of England,East of England,1.25,4
64,East of England,Amikacin,2021-05-01,E-coli,3.25,E-coli__Amikacin__East of England,East of England,1.26,5
65,East of England,Amikacin,2021-06-01,E-coli,3.21,E-coli__Amikacin__East of England,East of England,1.27,6
