time,resistance_pct,series
2023-01-01,0.12552261457030803,E-coli__Amikacin__North East
2023-02-01,0.1605595095476757,E-coli__Amikacin__North East
2023-03-01,0.1799079493818799,E-coli__Amikacin__North East
2023-04-01,0.1833438367948176,E-coli__Amikacin__North East
2023-05-01,0.16648973691353905,E-coli__Amikacin__North East
2023-06-01,0.18992853452449598,E-coli__Amikacin__North East
2023-07-01,0.2133185281051319,E-coli__Amikacin__North East
2023-08-01,0.2496958265070708,E-coli__Amikacin__North East
2023-09-01,0.22088587701432263,E-coli__Amikacin__North East
2023-10-01,0.20995755931725069,E-coli__Amikacin__North East
2023-11-01,0.2187652137963459,E-coli__Amikacin__North East
2023-12-01,0.23233491172150073,E-coli__Amikacin__North East
2024-01-01,0.13007062921670873,E-coli__Amikacin__North East
2024-02-01,0.13638038061622623,E-coli__Amikacin__North East
2024-03-01,0.12978688768155122,E-coli__Amikacin__North East
2024-04-01,0.17196222490661747,E-coli__Amikacin__North East
2024-05-01,0.12824334721285205,E-coli__Amikacin__North East
2024-06-01,0.14164213801164227,E-coli__Amikacin__North East
2024-07-01,0.19436952020826248,E-coli__Amikacin__North East
2024-08-01,0.23587956848510427,E-coli__Amikacin__North East
2024-09-01,0.213823444678293,E-coli__Amikacin__North East
2024-10-01,0.22296907198059515,E-coli__Amikacin__North East
2024-11-01,0.22138613114211345,E-coli__Amikacin__North East
2024-12-01,0.2060925459314877,E-coli__Amikacin__North East
2025-01-01,0.1875751589031184,E-coli__Amikacin__North East
2025-02-01,0.15476905990458895,E-coli__Amikacin__North East
2025-03-01,0.1154011219772848,E-coli__Amikacin__North East
2025-04-01,0.10700654834553258,E-coli__Amikacin__North East
2025-05-01,0.11524070794897462,E-coli__Amikacin__North East
2025-06-01,0.10066349411627434,E-coli__Amikacin__North East
2023-01-01,0.06917993628894673,E-coli__Amikacin__North West
2023-02-01,0.10014339165777994,E-coli__Amikacin__North West
2023-03-01,0.1434123635509542,E-coli__Amikacin__North West
2023-04-01,0.1881627523121111,E-coli__Amikacin__North West
2023-05-01,0.19764895327283408,E-coli__Amikacin__North West
2023-06-01,0.18966489548255236,E-coli__Amikacin__North West
2023-07-01,0.17649715628024462,E-coli__Amikacin__North West
2023-08-01,0.17791072804123242,E-coli__Amikacin__North West
2023-09-01,0.19817779480893494,E-coli__Amikacin__North West
2023-10-01,0.20073087598435738,E-coli__Amikacin__North West
2023-11-01,0.1824162061560666,E-coli__Amikacin__North West
2023-12-01,0.15914202832759397,E-coli__Amikacin__North West
2024-01-01,0.10660785699801284,E-coli__Amikacin__North West
2024-02-01,0.11672128932565631,E-coli__Amikacin__North West
2024-03-01,0.11017212578968236,E-coli__Amikacin__North West
2024-04-01,0.10781597590302461,E-coli__Amikacin__North West
2024-05-01,0.10520966433670231,E-coli__Amikacin__North West
2024-06-01,0.11249783595314897,E-coli__Amikacin__North West
2024-07-01,0.20947196890838427,E-coli__Amikacin__North West
2024-08-01,0.22540736063616715,E-coli__Amikacin__North West
2024-09-01,0.20646185023919178,E-coli__Amikacin__North West
2024-10-01,0.20420917171137365,E-coli__Amikacin__North West
2024-11-01,0.1807262318623241,E-coli__Amikacin__North West
2024-12-01,0.15247752416062565,E-coli__Amikacin__North West
2025-01-01,0.13158433961900642,E-coli__Amikacin__North West
2025-02-01,0.11980007121099209,E-coli__Amikacin__North West
2025-03-01,0.11008075990000787,E-coli__Amikacin__North West
2025-04-01,0.08979458199389667,E-coli__Amikacin__North West
2025-05-01,0.05380359095253434,E-coli__Amikacin__North West
2025-06-01,0.021246961999113467,E-coli__Amikacin__North West
2023-01-01,-0.2619240127059653,E-coli__Amikacin__South East
2023-02-01,-0.26076910411967724,E-coli__Amikacin__South East
2023-03-01,-0.2705598026256875,E-coli__Amikacin__South East
2023-04-01,-0.25752466127279283,E-coli__Amikacin__South East
2023-05-01,-0.2553136564140732,E-coli__Amikacin__South East
2023-06-01,-0.266761564005042,E-coli__Amikacin__South East
2023-07-01,-0.26892774438620703,E-coli__Amikacin__South East
2023-08-01,-0.25714752424673837,E-coli__Amikacin__South East
2023-09-01,-0.2362179540854275,E-coli__Amikacin__South East
2023-10-01,-0.2436147535130272,E-coli__Amikacin__South East
2023-11-01,-0.2399633533468393,E-coli__Amikacin__South East
2023-12-01,-0.22694280624770174,E-coli__Amikacin__South East
2024-01-01,-0.20328313979622498,E-coli__Amikacin__South East
2024-02-01,-0.19923560052976882,E-coli__Amikacin__South East
2024-03-01,-0.20250610182615586,E-coli__Amikacin__South East
2024-04-01,-0.20108761809202844,E-coli__Amikacin__South East
2024-05-01,-0.1941935554938234,E-coli__Amikacin__South East
2024-06-01,-0.18444001051410788,E-coli__Amikacin__South East
2024-07-01,-0.06411114143534216,E-coli__Amikacin__South East
2024-08-01,-0.030332505163358198,E-coli__Amikacin__South East
2024-09-01,0.007555337323198519,E-coli__Amikacin__South East
2024-10-01,0.02278920751749003,E-coli__Amikacin__South East
2024-11-01,0.08005811699422144,E-coli__Amikacin__South East
2024-12-01,0.128263337639814,E-coli__Amikacin__South East
2025-01-01,0.16881730218806268,E-coli__Amikacin__South East
2025-02-01,0.191032873078947,E-coli__Amikacin__South East
2025-03-01,0.21046389329907456,E-coli__Amikacin__South East
2025-04-01,0.2502721706008081,E-coli__Amikacin__South East
2025-05-01,0.2791787419735339,E-coli__Amikacin__South East
2025-06-01,0.29881344126831544,E-coli__Amikacin__South East
2023-01-01,0.07596672025725537,E-coli__Amikacin__South West
2023-02-01,0.12530419201877732,E-coli__Amikacin__South West
2023-03-01,0.1671409453526434,E-coli__Amikacin__South West
2023-04-01,0.1881900033121985,E-coli__Amikacin__South West
2023-05-01,0.17481109058709077,E-coli__Amikacin__South West
2023-06-01,0.179418012530005,E-coli__Amikacin__South West
2023-07-01,0.17738498638750877,E-coli__Amikacin__South West
2023-08-01,0.2044371002851416,E-coli__Amikacin__South West
2023-09-01,0.19737383471809689,E-coli__Amikacin__South West
2023-10-01,0.18808741542376936,E-coli__Amikacin__South West
2023-11-01,0.18420214859836062,E-coli__Amikacin__South West
2023-12-01,0.17303431670287855,E-coli__Amikacin__South West
2024-01-01,0.12976082682387785,E-coli__Amikacin__South West
2024-02-01,0.10762396728716664,E-coli__Amikacin__South West
2024-03-01,0.12477148506731708,E-coli__Amikacin__South West
2024-04-01,0.12728455108487324,E-coli__Amikacin__South West
2024-05-01,0.1366766524597139,E-coli__Amikacin__South West
2024-06-01,0.10215713537831875,E-coli__Amikacin__South West
2024-07-01,0.20685638231473225,E-coli__Amikacin__South West
2024-08-01,0.20539030296968958,E-coli__Amikacin__South West
2024-09-01,0.2114595106671478,E-coli__Amikacin__South West
2024-10-01,0.19678517136360157,E-coli__Amikacin__South West
2024-11-01,0.2065624034312881,E-coli__Amikacin__South West
2024-12-01,0.18656863401516183,E-coli__Amikacin__South West
2025-01-01,0.19013415144771112,E-coli__Amikacin__South West
2025-02-01,0.18013672527491378,E-coli__Amikacin__South West
2025-03-01,0.1563749229788698,E-coli__Amikacin__South West
2025-04-01,0.13432250316724392,E-coli__Amikacin__South West
2025-05-01,0.12992418388575214,E-coli__Amikacin__South West
2025-06-01,0.08936966458356282,E-coli__Amikacin__South West
2023-01-01,0.06235093527051702,E-coli__Amikacin__West Midlands
2023-02-01,0.12748477853203669,E-coli__Amikacin__West Midlands
2023-03-01,0.16107563011957132,E-coli__Amikacin__West Midlands
2023-04-01,0.1759636536973382,E-coli__Amikacin__West Midlands
2023-05-01,0.18356211699164124,E-coli__Amikacin__West Midlands
2023-06-01,0.18272382403476664,E-coli__Amikacin__West Midlands
2023-07-01,0.1859555696927962,E-coli__Amikacin__West Midlands
2023-08-01,0.16895745271268237,E-coli__Amikacin__West Midlands
