date,series_id,value
2024-05-01,E-coli__Amikacin__London,3.96
2024-06-01,E-coli__Amikacin__London,3.97
2024-07-01,E-coli__Amikacin__London,4.26
2024-08-01,E-coli__Amikacin__London,3.14
2024-09-01,E-coli__Amikacin__London,2.75
2024-10-01,E-coli__Amikacin__London,2.58
2024-11-01,E-coli__Amikacin__London,2.44
2024-12-01,E-coli__Amikacin__London,2.7
2025-01-01,E-coli__Amikacin__London,2.58
2025-02-01,E-coli__Amikacin__London,2.8
2025-03-01,E-coli__Amikacin__London,2.65
2025-04-01,E-coli__Amikacin__London,2.3
2025-05-01,E-coli__Amikacin__London,2.12
2025-06-01,E-coli__Amikacin__London,2.12
2021-10-01,E-coli__Amikacin__North East,0.0
2021-11-01,E-coli__Amikacin__North East,0.0
2021-12-01,E-coli__Amikacin__North East,0.0
2022-01-01,E-coli__Amikacin__North East,0.0
2022-02-01,E-coli__Amikacin__North East,1.08
2022-03-01,E-coli__Amikacin__North East,0.93
2022-04-01,E-coli__Amikacin__North East,0.89
2022-05-01,E-coli__Amikacin__North East,0.0
2022-06-01,E-coli__Amikacin__North East,0.0
2022-07-01,E-coli__Amikacin__North East,0.0
2022-08-01,E-coli__Amikacin__North East,0.68
2022-09-01,E-coli__Amikacin__North East,1.24
2022-10-01,E-coli__Amikacin__North East,1.34
2022-11-01,E-coli__Amikacin__North East,1.29
2022-12-01,E-coli__Amikacin__North East,0.67
2023-01-01,E-coli__Amikacin__North East,0.62
2023-02-01,E-coli__Amikacin__North East,0.65
2023-03-01,E-coli__Amikacin__North East,1.18
2023-04-01,E-coli__Amikacin__North East,2.73
2023-05-01,E-coli__Amikacin__North East,2.42
2023-06-01,E-coli__Amikacin__North East,2.26
2023-07-01,E-coli__Amikacin__North East,0.0
2023-08-01,E-coli__Amikacin__North East,0.83
2023-09-01,E-coli__Amikacin__North East,0.77
2023-10-01,E-coli__Amikacin__North East,0.81
2023-11-01,E-coli__Amikacin__North East,0.0
2023-12-01,E-coli__Amikacin__North East,4.04
2024-01-01,E-coli__Amikacin__North East,3.92
2024-02-01,E-coli__Amikacin__North East,4.67
2024-03-01,E-coli__Amikacin__North East,1.72
2024-04-01,E-coli__Amikacin__North East,3.7
2024-05-01,E-coli__Amikacin__North East,2.65
2024-06-01,E-coli__Amikacin__North East,1.87
2024-07-01,E-coli__Amikacin__North East,0.82
2024-08-01,E-coli__Amikacin__North East,0.84
2024-09-01,E-coli__Amikacin__North East,0.75
2024-10-01,E-coli__Amikacin__North East,0.8
2024-11-01,E-coli__Amikacin__North East,1.63
2024-12-01,E-coli__Amikacin__North East,2.54
2025-01-01,E-coli__Amikacin__North East,3.79
2025-02-01,E-coli__Amikacin__North East,5.47
2025-03-01,E-coli__Amikacin__North East,4.55
2025-04-01,E-coli__Amikacin__North East,2.46
2025-05-01,E-coli__Amikacin__North East,1.45
2025-06-01,E-coli__Amikacin__North East,2.31
2021-10-01,E-coli__Amikacin__North West,1.61
2021-11-01,E-coli__Amikacin__North West,1.85
2021-12-01,E-coli__Amikacin__North West,2.58
2022-01-01,E-coli__Amikacin__North West,2.86
2022-02-01,E-coli__Amikacin__North West,2.9
2022-03-01,E-coli__Amikacin__North West,2.34
2022-04-01,E-coli__Amikacin__North West,2.12
2022-05-01,E-coli__Amikacin__North West,1.83
2022-06-01,E-coli__Amikacin__North West,2.48
2022-07-01,E-coli__Amikacin__North West,2.91
2022-08-01,E-coli__Amikacin__North West,3.79
2022-09-01,E-coli__Amikacin__North West,3.24
2022-10-01,E-coli__Amikacin__North West,2.78
2022-11-01,E-coli__Amikacin__North West,3.0
2022-12-01,E-coli__Amikacin__North West,4.25
2023-01-01,E-coli__Amikacin__North West,4.77
2023-02-01,E-coli__Amikacin__North West,4.45
2023-03-01,E-coli__Amikacin__North West,2.8
2023-04-01,E-coli__Amikacin__North West,2.46
2023-05-01,E-coli__Amikacin__North West,2.91
2023-06-01,E-coli__Amikacin__North West,3.44
2023-07-01,E-coli__Amikacin__North West,3.23
2023-08-01,E-coli__Amikacin__North West,2.69
2023-09-01,E-coli__Amikacin__North West,2.43
2023-10-01,E-coli__Amikacin__North West,3.34
2023-11-01,E-coli__Amikacin__North West,4.09
2023-12-01,E-coli__Amikacin__North West,4.57
2024-01-01,E-coli__Amikacin__North West,4.12
2024-02-01,E-coli__Amikacin__North West,3.8
2024-03-01,E-coli__Amikacin__North West,3.27
2024-04-01,E-coli__Amikacin__North West,3.5
2024-05-01,E-coli__Amikacin__North West,3.08
2024-06-01,E-coli__Amikacin__North West,3.28
2024-07-01,E-coli__Amikacin__North West,2.66
2024-08-01,E-coli__Amikacin__North West,2.79
2024-09-01,E-coli__Amikacin__North West,2.5
2024-10-01,E-coli__Amikacin__North West,3.19
2024-11-01,E-coli__Amikacin__North West,3.99
2024-12-01,E-coli__Amikacin__North West,4.72
2025-01-01,E-coli__Amikacin__North West,4.3
2025-02-01,E-coli__Amikacin__North West,3.11
2025-03-01,E-coli__Amikacin__North West,2.81
2025-04-01,E-coli__Amikacin__North West,3.38
2025-05-01,E-coli__Amikacin__North West,4.18
2025-06-01,E-coli__Amikacin__North West,3.58
2021-10-01,E-coli__Amikacin__South East,2.03
2021-11-01,E-coli__Amikacin__South East,1.29
2021-12-01,E-coli__Amikacin__South East,0.98
2022-01-01,E-coli__Amikacin__South East,1.3
2022-02-01,E-coli__Amikacin__South East,2.22
2022-03-01,E-coli__Amikacin__South East,2.41
2022-04-01,E-coli__Amikacin__South East,3.05
2022-05-01,E-coli__Amikacin__South East,2.53
2022-06-01,E-coli__Amikacin__South East,2.85
2022-07-01,E-coli__Amikacin__South East,1.9
2022-08-01,E-coli__Amikacin__South East,2.27
