model,mae,rmse,strategy
LGBM-Recursive,0.20427714185501603,0.2503840260649239,Recursive
LGBM-Direct,0.21099494668631844,0.25863723695874985,Direct
XGB-Recursive,0.21580204005728634,0.2719824213178679,Recursive
XGB-Direct,0.2357963844703894,0.29459396276126104,Direct
