model,mae,rmse,strategy
LGBM-Direct,0.21895376657987567,0.25933837595231685,Direct
LGBM-Recursive,0.22400992720702864,0.2652482620617292,Recursive
Naïve Drift,0.22849358356436897,0.28978600658981674,
XGB-Recursive,0.2390707688682527,0.285511956148849,Recursive
XGB-Direct,0.24456325771992654,0.29135933814074255,Direct
Seasonal Naïve,0.24617948254453365,0.3090358433841375,
SARIMA,0.26057337524405777,0.324957913630944,
