date,baseline,series_id,minus20,plus20,model
2025-09-01,0.11307059,E-coli__Carbapenems__East of England,0.11307059,0.11307059,xgb
2025-10-01,0.22970027,E-coli__Carbapenems__East of England,0.22970027,0.22970027,xgb
2025-11-01,0.09624048,E-coli__Carbapenems__East of England,0.09624048,0.09624048,xgb
2025-12-01,0.053862613,E-coli__Carbapenems__East of England,0.053862613,0.053862613,xgb
2025-07-01,0.8026578,E-coli__Carbapenems__London,0.8026578,0.8026578,xgb
2025-08-01,0.77066505,E-coli__Carbapenems__London,0.77066505,0.77066505,xgb
2025-09-01,0.7528673,E-coli__Carbapenems__London,0.7528673,0.7528673,xgb
2025-10-01,0.7551718,E-coli__Carbapenems__London,0.7551718,0.7551718,xgb
2025-11-01,0.7694656,E-coli__Carbapenems__London,0.7694656,0.7694656,xgb
2025-12-01,0.6775791,E-coli__Carbapenems__London,0.6775791,0.6775791,xgb
2025-07-01,1.8586009e-06,E-coli__Carbapenems__North East,1.8586009e-06,1.8586009e-06,xgb
2025-08-01,6.588164e-06,E-coli__Carbapenems__North East,6.588164e-06,6.588164e-06,xgb
2025-09-01,6.640093e-05,E-coli__Carbapenems__North East,6.640093e-05,6.640093e-05,xgb
2025-10-01,0.16330233,E-coli__Carbapenems__North East,0.16330233,0.16330233,xgb
2025-11-01,0.1532134,E-coli__Carbapenems__North East,0.1532134,0.1532134,xgb
2025-12-01,0.19957905,E-coli__Carbapenems__North East,0.19957905,0.19957905,xgb
2025-07-01,0.29878065,E-coli__Carbapenems__North West,0.29878065,0.29878065,xgb
2025-08-01,0.20731458,E-coli__Carbapenems__North West,0.20731458,0.20731458,xgb
2025-09-01,0.08014035,E-coli__Carbapenems__North West,0.08014035,0.08014035,xgb
2025-10-01,0.13808115,E-coli__Carbapenems__North West,0.13808115,0.13808115,xgb
2025-11-01,0.35791102,E-coli__Carbapenems__North West,0.35791102,0.35791102,xgb
2025-12-01,0.3314427,E-coli__Carbapenems__North West,0.3314427,0.3314427,xgb
2025-07-01,0.14262962,E-coli__Carbapenems__South East,0.14262962,0.14262962,xgb
2025-08-01,0.11115498,E-coli__Carbapenems__South East,0.11115498,0.11115498,xgb
2025-09-01,0.09018664,E-coli__Carbapenems__South East,0.09018664,0.09018664,xgb
2025-10-01,0.03880286,E-coli__Carbapenems__South East,0.03880286,0.03880286,xgb
2025-11-01,0.42313203,E-coli__Carbapenems__South East,0.42313203,0.42313203,xgb
2025-12-01,0.4848809,E-coli__Carbapenems__South East,0.4848809,0.4848809,xgb
2025-07-01,-0.004936459,E-coli__Carbapenems__South West,-0.004936459,-0.004936459,xgb
2025-08-01,0.027982151,E-coli__Carbapenems__South West,0.027982151,0.027982151,xgb
2025-09-01,0.041987263,E-coli__Carbapenems__South West,0.041987263,0.041987263,xgb
2025-10-01,0.01769637,E-coli__Carbapenems__South West,0.01769637,0.01769637,xgb
2025-11-01,0.039013397,E-coli__Carbapenems__South West,0.039013397,0.039013397,xgb
2025-12-01,-0.0023947586,E-coli__Carbapenems__South West,-0.0023947586,-0.0023947586,xgb
2025-07-01,0.0991949,E-coli__Carbapenems__West Midlands,0.0991949,0.0991949,xgb
2025-08-01,0.0008075524,E-coli__Carbapenems__West Midlands,0.0008075524,0.0008075524,xgb
2025-09-01,0.021877535,E-coli__Carbapenems__West Midlands,0.021877535,0.021877535,xgb
2025-10-01,0.24910055,E-coli__Carbapenems__West Midlands,0.24910055,0.24910055,xgb
2025-11-01,0.3838019,E-coli__Carbapenems__West Midlands,0.3838019,0.3838019,xgb
2025-12-01,0.37646937,E-coli__Carbapenems__West Midlands,0.37646937,0.37646937,xgb
2025-07-01,0.14919196,E-coli__Carbapenems__Yorkshire and Humber,0.14919196,0.14919196,xgb
2025-08-01,0.07103382,E-coli__Carbapenems__Yorkshire and Humber,0.07103382,0.07103382,xgb
2025-09-01,0.29428545,E-coli__Carbapenems__Yorkshire and Humber,0.29428545,0.29428545,xgb
2025-10-01,0.2720305,E-coli__Carbapenems__Yorkshire and Humber,0.2720305,0.2720305,xgb
2025-11-01,0.15877524,E-coli__Carbapenems__Yorkshire and Humber,0.15877524,0.15877524,xgb
2025-12-01,0.22217725,E-coli__Carbapenems__Yorkshire and Humber,0.22217725,0.22217725,xgb
2025-07-01,17.805954,E-coli__Ciprofloxacin__East Midlands,17.805954,17.805954,xgb
2025-08-01,17.565443,E-coli__Ciprofloxacin__East Midlands,17.565443,17.565443,xgb
2025-09-01,17.774279,E-coli__Ciprofloxacin__East Midlands,17.774279,17.774279,xgb
2025-10-01,18.92531,E-coli__Ciprofloxacin__East Midlands,18.92531,18.92531,xgb
2025-11-01,18.764296,E-coli__Ciprofloxacin__East Midlands,18.764296,18.764296,xgb
2025-12-01,18.627865,E-coli__Ciprofloxacin__East Midlands,18.627865,18.627865,xgb
2025-07-01,17.800896,E-coli__Ciprofloxacin__East of England,17.800896,17.800896,xgb
2025-08-01,19.408955,E-coli__Ciprofloxacin__East of England,19.408955,19.408955,xgb
2025-09-01,18.928373,E-coli__Ciprofloxacin__East of England,18.928373,18.928373,xgb
2025-10-01,18.579771,E-coli__Ciprofloxacin__East of England,18.579771,18.579771,xgb
2025-11-01,21.613026,E-coli__Ciprofloxacin__East of England,21.613026,21.613026,xgb
2025-12-01,20.742712,E-coli__Ciprofloxacin__East of England,20.742712,20.742712,xgb
2025-07-01,29.86063,E-coli__Ciprofloxacin__London,29.86063,29.86063,xgb
2025-08-01,28.954552,E-coli__Ciprofloxacin__London,28.954552,28.954552,xgb
2025-09-01,28.940773,E-coli__Ciprofloxacin__London,28.940773,28.940773,xgb
2025-10-01,28.6698,E-coli__Ciprofloxacin__London,28.6698,28.6698,xgb
2025-11-01,28.411772,E-coli__Ciprofloxacin__London,28.411772,28.411772,xgb
2025-12-01,26.967497,E-coli__Ciprofloxacin__London,26.967497,26.967497,xgb
2025-07-01,11.858288,E-coli__Ciprofloxacin__North East,11.858288,11.858288,xgb
2025-08-01,11.783253,E-coli__Ciprofloxacin__North East,11.783253,11.783253,xgb
2025-09-01,12.917516,E-coli__Ciprofloxacin__North East,12.917516,12.917516,xgb
2025-10-01,13.313549,E-coli__Ciprofloxacin__North East,13.313549,13.313549,xgb
2025-11-01,13.557717,E-coli__Ciprofloxacin__North East,13.557717,13.557717,xgb
2025-12-01,12.256782,E-coli__Ciprofloxacin__North East,12.256782,12.256782,xgb
2025-07-01,19.959005,E-coli__Ciprofloxacin__North West,19.959005,19.959005,xgb
2025-08-01,20.14387,E-coli__Ciprofloxacin__North West,20.14387,20.14387,xgb
2025-09-01,20.0336,E-coli__Ciprofloxacin__North West,20.0336,20.0336,xgb
2025-10-01,21.5874,E-coli__Ciprofloxacin__North West,21.5874,21.5874,xgb
2025-11-01,22.00392,E-coli__Ciprofloxacin__North West,22.00392,22.00392,xgb
2025-12-01,22.126993,E-coli__Ciprofloxacin__North West,22.126993,22.126993,xgb
2025-07-01,18.318995,E-coli__Ciprofloxacin__South East,18.318995,18.318995,xgb
2025-08-01,18.137835,E-coli__Ciprofloxacin__South East,18.137835,18.137835,xgb
2025-09-01,17.045576,E-coli__Ciprofloxacin__South East,17.045576,17.045576,xgb
2025-10-01,17.051832,E-coli__Ciprofloxacin__South East,17.051832,17.051832,xgb
2025-11-01,16.453146,E-coli__Ciprofloxacin__South East,16.453146,16.453146,xgb
2025-12-01,16.816107,E-coli__Ciprofloxacin__South East,16.816107,16.816107,xgb
2025-07-01,13.12446,E-coli__Ciprofloxacin__South West,13.12446,13.12446,xgb
2025-08-01,13.2501,E-coli__Ciprofloxacin__South West,13.2501,13.2501,xgb
2025-09-01,14.05968,E-coli__Ciprofloxacin__South West,14.05968,14.05968,xgb
2025-10-01,13.297514,E-coli__Ciprofloxacin__South West,13.297514,13.297514,xgb
2025-11-01,12.585968,E-coli__Ciprofloxacin__South West,12.585968,12.585968,xgb
2025-12-01,13.17517,E-coli__Ciprofloxacin__South West,13.17517,13.17517,xgb
2025-07-01,19.513544,E-coli__Ciprofloxacin__West Midlands,19.513544,19.513544,xgb
2025-08-01,19.698488,E-coli__Ciprofloxacin__West Midlands,19.698488,19.698488,xgb
2025-09-01,20.58131,E-coli__Ciprofloxacin__West Midlands,20.58131,20.58131,xgb
2025-10-01,20.60331,E-coli__Ciprofloxacin__West Midlands,20.60331,20.60331,xgb
2025-11-01,20.903736,E-coli__Ciprofloxacin__West Midlands,20.903736,20.903736,xgb
2025-12-01,21.73177,E-coli__Ciprofloxacin__West Midlands,21.73177,21.73177,xgb
2025-07-01,17.63492,E-coli__Ciprofloxacin__Yorkshire and Humber,17.63492,17.63492,xgb
2025-08-01,17.148718,E-coli__Ciprofloxacin__Yorkshire and Humber,17.148718,17.148718,xgb
2025-09-01,18.654493,E-coli__Ciprofloxacin__Yorkshire and Humber,18.654493,18.654493,xgb
2025-10-01,17.629782,E-coli__Ciprofloxacin__Yorkshire and Humber,17.629782,17.629782,xgb
