date,baseline,series_id,minus20,plus20,model
2025-07-01,2.8467857104539873,E-coli__Amikacin__East Midlands,2.8467857104539873,2.8467857104539873,lgbm
2025-08-01,2.876785709751504,E-coli__Amikacin__East Midlands,2.876785709751504,2.876785709751504,lgbm
2025-09-01,2.9246428488461036,E-coli__Amikacin__East Midlands,2.9246428488461036,2.9246428488461036,lgbm
2025-10-01,2.9714285651009,E-coli__Amikacin__East Midlands,2.9714285651009,2.9714285651009,lgbm
2025-11-01,3.0489285640258874,E-coli__Amikacin__East Midlands,3.0489285640258874,3.0489285640258874,lgbm
2025-12-01,3.123571425021759,E-coli__Amikacin__East Midlands,3.123571425021759,3.123571425021759,lgbm
2025-07-01,3.5210714254421847,E-coli__Amikacin__East of England,3.5210714254421847,3.5210714254421847,lgbm
2025-08-01,3.551785710666861,E-coli__Amikacin__East of England,3.551785710666861,3.551785710666861,lgbm
2025-09-01,3.567142854332924,E-coli__Amikacin__East of England,3.567142854332924,3.567142854332924,lgbm
2025-10-01,3.619642850628921,E-coli__Amikacin__East of England,3.619642850628921,3.619642850628921,lgbm
2025-11-01,3.640357140472957,E-coli__Amikacin__East of England,3.640357140472957,3.640357140472957,lgbm
2025-12-01,3.638214281158788,E-coli__Amikacin__East of England,3.638214281158788,3.638214281158788,lgbm
2025-07-01,3.4617857133277825,E-coli__Amikacin__London,3.4617857133277825,3.4617857133277825,lgbm
2025-08-01,3.4650000018945764,E-coli__Amikacin__London,3.4650000018945764,3.4650000018945764,lgbm
2025-09-01,3.447142863976104,E-coli__Amikacin__London,3.447142863976104,3.447142863976104,lgbm
2025-10-01,3.393928580603429,E-coli__Amikacin__London,3.393928580603429,3.393928580603429,lgbm
2025-11-01,3.34714286716921,E-coli__Amikacin__London,3.34714286716921,3.34714286716921,lgbm
2025-12-01,3.290000012878861,E-coli__Amikacin__London,3.290000012878861,3.290000012878861,lgbm
2025-07-01,1.7610714199207724,E-coli__Amikacin__North East,1.7610714199207724,1.7610714199207724,lgbm
2025-08-01,1.9085714210862559,E-coli__Amikacin__North East,1.9085714210862559,1.9085714210862559,lgbm
