,geography,stratum,organism,date,resistance_pct
104,East Midlands,Carbapenems,E-coli,2024-09-01,0.11
105,East Midlands,Carbapenems,E-coli,2024-10-01,0.31
106,East Midlands,Carbapenems,E-coli,2024-11-01,0.2
107,East Midlands,Carbapenems,E-coli,2024-12-01,0.3
108,East Midlands,Carbapenems,E-coli,2025-01-01,0.33
109,East Midlands,Carbapenems,E-coli,2025-02-01,0.36
110,East Midlands,Carbapenems,E-coli,2025-03-01,0.35
111,East Midlands,Carbapenems,E-coli,2025-04-01,0.34
112,East Midlands,Carbapenems,E-coli,2025-05-01,0.31
113,East Midlands,Carbapenems,E-coli,2025-06-01,0.3
114,East Midlands,Ciprofloxacin,E-coli,2020-10-01,13.68
115,East Midlands,Ciprofloxacin,E-coli,2020-11-01,14.76
116,East Midlands,Ciprofloxacin,E-coli,2020-12-01,13.17
117,East Midlands,Ciprofloxacin,E-coli,2021-01-01,14.31
118,East Midlands,Ciprofloxacin,E-coli,2021-02-01,14.43
119,East Midlands,Ciprofloxacin,E-coli,2021-03-01,16.46
120,East Midlands,Ciprofloxacin,E-coli,2021-04-01,15.57
121,East Midlands,Ciprofloxacin,E-coli,2021-05-01,14.91
122,East Midlands,Ciprofloxacin,E-coli,2021-06-01,14.04
123,East Midlands,Ciprofloxacin,E-coli,2021-07-01,14.07
124,East Midlands,Ciprofloxacin,E-coli,2021-08-01,14.29
125,East Midlands,Ciprofloxacin,E-coli,2021-09-01,13.4
126,East Midlands,Ciprofloxacin,E-coli,2021-10-01,13.02
127,East Midlands,Ciprofloxacin,E-coli,2021-11-01,13.77
128,East Midlands,Ciprofloxacin,E-coli,2021-12-01,15.12
129,East Midlands,Ciprofloxacin,E-coli,2022-01-01,17.68
130,East Midlands,Ciprofloxacin,E-coli,2022-02-01,17.13
131,East Midlands,Ciprofloxacin,E-coli,2022-03-01,16.31
132,East Midlands,Ciprofloxacin,E-coli,2022-04-01,15.87
133,East Midlands,Ciprofloxacin,E-coli,2022-05-01,15.32
134,East Midlands,Ciprofloxacin,E-coli,2022-06-01,14.89
135,East Midlands,Ciprofloxacin,E-coli,2022-07-01,14.42
136,East Midlands,Ciprofloxacin,E-coli,2022-08-01,14.21
137,East Midlands,Ciprofloxacin,E-coli,2022-09-01,14.44
138,East Midlands,Ciprofloxacin,E-coli,2022-10-01,14.95
139,East Midlands,Ciprofloxacin,E-coli,2022-11-01,14.84
140,East Midlands,Ciprofloxacin,E-coli,2022-12-01,16.67
141,East Midlands,Ciprofloxacin,E-coli,2023-01-01,14.07
142,East Midlands,Ciprofloxacin,E-coli,2023-02-01,13.88
143,East Midlands,Ciprofloxacin,E-coli,2023-03-01,13.02
144,East Midlands,Ciprofloxacin,E-coli,2023-04-01,15.11
145,East Midlands,Ciprofloxacin,E-coli,2023-05-01,16.55
146,East Midlands,Ciprofloxacin,E-coli,2023-06-01,16.17
147,East Midlands,Ciprofloxacin,E-coli,2023-07-01,16.67
148,East Midlands,Ciprofloxacin,E-coli,2023-08-01,15.56
149,East Midlands,Ciprofloxacin,E-coli,2023-09-01,15.75
150,East Midlands,Ciprofloxacin,E-coli,2023-10-01,16.13
151,East Midlands,Ciprofloxacin,E-coli,2023-11-01,17.81
152,East Midlands,Ciprofloxacin,E-coli,2023-12-01,20.48
153,East Midlands,Ciprofloxacin,E-coli,2024-01-01,19.74
154,East Midlands,Ciprofloxacin,E-coli,2024-02-01,19.15
155,East Midlands,Ciprofloxacin,E-coli,2024-03-01,16.49
156,East Midlands,Ciprofloxacin,E-coli,2024-04-01,16.92
157,East Midlands,Ciprofloxacin,E-coli,2024-05-01,17.2
158,East Midlands,Ciprofloxacin,E-coli,2024-06-01,18.02
159,East Midlands,Ciprofloxacin,E-coli,2024-07-01,18.67
160,East Midlands,Ciprofloxacin,E-coli,2024-08-01,17.92
161,East Midlands,Ciprofloxacin,E-coli,2024-09-01,18.59
162,East Midlands,Ciprofloxacin,E-coli,2024-10-01,17.29
163,East Midlands,Ciprofloxacin,E-coli,2024-11-01,17.14
164,East Midlands,Ciprofloxacin,E-coli,2024-12-01,17.37
165,East Midlands,Ciprofloxacin,E-coli,2025-01-01,17.86
166,East Midlands,Ciprofloxacin,E-coli,2025-02-01,19.34
167,East Midlands,Ciprofloxacin,E-coli,2025-03-01,19.06
168,East Midlands,Ciprofloxacin,E-coli,2025-04-01,19.93
169,East Midlands,Ciprofloxacin,E-coli,2025-05-01,19.12
170,East Midlands,Ciprofloxacin,E-coli,2025-06-01,19.16
171,East Midlands,Co-amoxiclav,E-coli,2020-10-01,37.76
172,East Midlands,Co-amoxiclav,E-coli,2020-11-01,37.69
173,East Midlands,Co-amoxiclav,E-coli,2020-12-01,38.64
174,East Midlands,Co-amoxiclav,E-coli,2021-01-01,38.11
175,East Midlands,Co-amoxiclav,E-coli,2021-02-01,36.96
176,East Midlands,Co-amoxiclav,E-coli,2021-03-01,37.63
177,East Midlands,Co-amoxiclav,E-coli,2021-04-01,38.57
178,East Midlands,Co-amoxiclav,E-coli,2021-05-01,37.94
179,East Midlands,Co-amoxiclav,E-coli,2021-06-01,35.38
180,East Midlands,Co-amoxiclav,E-coli,2021-07-01,32.99
181,East Midlands,Co-amoxiclav,E-coli,2021-08-01,32.8
182,East Midlands,Co-amoxiclav,E-coli,2021-09-01,34.97
183,East Midlands,Co-amoxiclav,E-coli,2021-10-01,38.3
184,East Midlands,Co-amoxiclav,E-coli,2021-11-01,39.79
185,East Midlands,Co-amoxiclav,E-coli,2021-12-01,35.8
186,East Midlands,Co-amoxiclav,E-coli,2022-01-01,32.59
187,East Midlands,Co-amoxiclav,E-coli,2022-02-01,33.17
188,East Midlands,Co-amoxiclav,E-coli,2022-03-01,35.24
189,East Midlands,Co-amoxiclav,E-coli,2022-04-01,37.46
190,East Midlands,Co-amoxiclav,E-coli,2022-05-01,36.34
191,East Midlands,Co-amoxiclav,E-coli,2022-06-01,36.97
192,East Midlands,Co-amoxiclav,E-coli,2022-07-01,37.29
193,East Midlands,Co-amoxiclav,E-coli,2022-08-01,37.77
194,East Midlands,Co-amoxiclav,E-coli,2022-09-01,37.42
195,East Midlands,Co-amoxiclav,E-coli,2022-10-01,38.61
196,East Midlands,Co-amoxiclav,E-coli,2022-11-01,37.74
197,East Midlands,Co-amoxiclav,E-coli,2022-12-01,38.03
198,East Midlands,Co-amoxiclav,E-coli,2023-01-01,36.16
199,East Midlands,Co-amoxiclav,E-coli,2023-02-01,39.28
200,East Midlands,Co-amoxiclav,E-coli,2023-03-01,39.25
201,East Midlands,Co-amoxiclav,E-coli,2023-04-01,40.47
202,East Midlands,Co-amoxiclav,E-coli,2023-05-01,38.34
203,East Midlands,Co-amoxiclav,E-coli,2023-06-01,39.47
204,East Midlands,Co-amoxiclav,E-coli,2023-07-01,37.97
205,East Midlands,Co-amoxiclav,E-coli,2023-08-01,39.28
206,East Midlands,Co-amoxiclav,E-coli,2023-09-01,38.65
207,East Midlands,Co-amoxiclav,E-coli,2023-10-01,40.98
208,East Midlands,Co-amoxiclav,E-coli,2023-11-01,43.94
209,East Midlands,Co-amoxiclav,E-coli,2023-12-01,44.63
210,East Midlands,Co-amoxiclav,E-coli,2024-01-01,42.43
211,East Midlands,Co-amoxiclav,E-coli,2024-02-01,39.39
212,East Midlands,Co-amoxiclav,E-coli,2024-03-01,37.88
213,East Midlands,Co-amoxiclav,E-coli,2024-04-01,36.16
214,East Midlands,Co-amoxiclav,E-coli,2024-05-01,34.92
215,East Midlands,Co-amoxiclav,E-coli,2024-06-01,37.47
216,East Midlands,Co-amoxiclav,E-coli,2024-07-01,40.26
217,East Midlands,Co-amoxiclav,E-coli,2024-08-01,40.13
218,East Midlands,Co-amoxiclav,E-coli,2024-09-01,39.87
219,East Midlands,Co-amoxiclav,E-coli,2024-10-01,40.45
220,East Midlands,Co-amoxiclav,E-coli,2024-11-01,41.02
221,East Midlands,Co-amoxiclav,E-coli,2024-12-01,41.52
222,East Midlands,Co-amoxiclav,E-coli,2025-01-01,40.7
