date,value,series_id,is_forecast,model
2023-05-01,3.77,E-coli__Amikacin__East of England,False,tcn
2023-06-01,4.49,E-coli__Amikacin__East of England,False,tcn
2023-07-01,4.12,E-coli__Amikacin__East of England,False,tcn
2023-08-01,4.6,E-coli__Amikacin__East of England,False,tcn
2023-09-01,4.81,E-coli__Amikacin__East of England,False,tcn
2023-10-01,5.5,E-coli__Amikacin__East of England,False,tcn
2023-11-01,4.79,E-coli__Amikacin__East of England,False,tcn
2023-12-01,4.01,E-coli__Amikacin__East of England,False,tcn
2024-01-01,3.33,E-coli__Amikacin__East of England,False,tcn
2024-02-01,3.27,E-coli__Amikacin__East of England,False,tcn
2024-03-01,3.89,E-coli__Amikacin__East of England,False,tcn
2024-04-01,3.99,E-coli__Amikacin__East of England,False,tcn
2024-05-01,4.04,E-coli__Amikacin__East of England,False,tcn
2024-06-01,3.65,E-coli__Amikacin__East of England,False,tcn
2024-07-01,3.19,E-coli__Amikacin__East of England,False,tcn
2024-08-01,2.51,E-coli__Amikacin__East of England,False,tcn
2024-09-01,2.22,E-coli__Amikacin__East of England,False,tcn
2024-10-01,2.47,E-coli__Amikacin__East of England,False,tcn
2024-11-01,3.5,E-coli__Amikacin__East of England,False,tcn
2024-12-01,3.46,E-coli__Amikacin__East of England,False,tcn
2025-01-01,2.9,E-coli__Amikacin__East of England,False,tcn
2025-02-01,2.4,E-coli__Amikacin__East of England,False,tcn
2025-03-01,2.62,E-coli__Amikacin__East of England,False,tcn
2025-04-01,3.71,E-coli__Amikacin__East of England,False,tcn
2025-05-01,3.7,E-coli__Amikacin__East of England,False,tcn
2025-06-01,3.14,E-coli__Amikacin__East of England,False,tcn
2025-07-01,1.5567269185123636,E-coli__Amikacin__East of England,True,tcn
2025-08-01,1.65103825806464,E-coli__Amikacin__East of England,True,tcn
2025-09-01,1.6154506438196792,E-coli__Amikacin__East of England,True,tcn
2025-10-01,1.6024961253517405,E-coli__Amikacin__East of England,True,tcn
2025-11-01,1.610984341864365,E-coli__Amikacin__East of England,True,tcn
2025-12-01,1.6457674451278377,E-coli__Amikacin__East of England,True,tcn
2020-10-01,2.47,E-coli__Amikacin__London,False,tcn
2020-11-01,2.77,E-coli__Amikacin__London,False,tcn
2020-12-01,4.17,E-coli__Amikacin__London,False,tcn
2021-01-01,3.41,E-coli__Amikacin__London,False,tcn
2021-02-01,2.52,E-coli__Amikacin__London,False,tcn
2021-03-01,1.29,E-coli__Amikacin__London,False,tcn
2021-04-01,1.49,E-coli__Amikacin__London,False,tcn
2021-05-01,1.88,E-coli__Amikacin__London,False,tcn
2021-06-01,1.79,E-coli__Amikacin__London,False,tcn
2021-07-01,1.97,E-coli__Amikacin__London,False,tcn
2021-08-01,1.82,E-coli__Amikacin__London,False,tcn
2021-09-01,1.42,E-coli__Amikacin__London,False,tcn
2021-10-01,1.44,E-coli__Amikacin__London,False,tcn
2021-11-01,2.05,E-coli__Amikacin__London,False,tcn
2021-12-01,2.52,E-coli__Amikacin__London,False,tcn
2022-01-01,2.54,E-coli__Amikacin__London,False,tcn
2022-02-01,2.66,E-coli__Amikacin__London,False,tcn
2022-03-01,3.03,E-coli__Amikacin__London,False,tcn
2022-04-01,2.82,E-coli__Amikacin__London,False,tcn
2022-05-01,2.05,E-coli__Amikacin__London,False,tcn
2022-06-01,1.51,E-coli__Amikacin__London,False,tcn
2022-07-01,1.51,E-coli__Amikacin__London,False,tcn
2022-08-01,2.26,E-coli__Amikacin__London,False,tcn
2022-09-01,2.32,E-coli__Amikacin__London,False,tcn
2022-10-01,2.71,E-coli__Amikacin__London,False,tcn
2022-11-01,3.15,E-coli__Amikacin__London,False,tcn
2022-12-01,3.79,E-coli__Amikacin__London,False,tcn
2023-01-01,3.43,E-coli__Amikacin__London,False,tcn
2023-02-01,3.72,E-coli__Amikacin__London,False,tcn
2023-03-01,3.86,E-coli__Amikacin__London,False,tcn
2023-04-01,4.82,E-coli__Amikacin__London,False,tcn
2023-05-01,4.16,E-coli__Amikacin__London,False,tcn
2023-06-01,4.26,E-coli__Amikacin__London,False,tcn
2023-07-01,3.71,E-coli__Amikacin__London,False,tcn
2023-08-01,3.7,E-coli__Amikacin__London,False,tcn
2023-09-01,3.77,E-coli__Amikacin__London,False,tcn
2023-10-01,3.83,E-coli__Amikacin__London,False,tcn
2023-11-01,3.72,E-coli__Amikacin__London,False,tcn
2023-12-01,3.08,E-coli__Amikacin__London,False,tcn
2024-01-01,3.25,E-coli__Amikacin__London,False,tcn
2024-02-01,3.2,E-coli__Amikacin__London,False,tcn
2024-03-01,3.19,E-coli__Amikacin__London,False,tcn
2024-04-01,3.2,E-coli__Amikacin__London,False,tcn
2024-05-01,3.96,E-coli__Amikacin__London,False,tcn
2024-06-01,3.97,E-coli__Amikacin__London,False,tcn
2024-07-01,4.26,E-coli__Amikacin__London,False,tcn
2024-08-01,3.14,E-coli__Amikacin__London,False,tcn
2024-09-01,2.75,E-coli__Amikacin__London,False,tcn
2024-10-01,2.58,E-coli__Amikacin__London,False,tcn
2024-11-01,2.44,E-coli__Amikacin__London,False,tcn
2024-12-01,2.7,E-coli__Amikacin__London,False,tcn
2025-01-01,2.58,E-coli__Amikacin__London,False,tcn
2025-02-01,2.8,E-coli__Amikacin__London,False,tcn
2025-03-01,2.65,E-coli__Amikacin__London,False,tcn
2025-04-01,2.3,E-coli__Amikacin__London,False,tcn
2025-05-01,2.12,E-coli__Amikacin__London,False,tcn
2025-06-01,2.12,E-coli__Amikacin__London,False,tcn
2025-07-01,1.8720092184061867,E-coli__Amikacin__London,True,tcn
2025-08-01,1.8768516144046987,E-coli__Amikacin__London,True,tcn
