date,baseline,series_id,minus20,plus20,model
2025-10-01,0.19717534,E-coli__Carbapenems__East of England,0.19717534,0.19717534,xgb
2025-11-01,0.18773678,E-coli__Carbapenems__East of England,0.18773678,0.18773678,xgb
2025-12-01,0.1336005,E-coli__Carbapenems__East of England,0.1336005,0.1336005,xgb
2025-07-01,0.65106547,E-coli__Carbapenems__London,0.65106547,0.65106547,xgb
2025-08-01,0.68145555,E-coli__Carbapenems__London,0.68145555,0.72109437,xgb
2025-09-01,0.685232,E-coli__Carbapenems__London,0.685232,0.7416276,xgb
2025-10-01,0.7173223,E-coli__Carbapenems__London,0.7173223,0.7733812,xgb
2025-11-01,0.64444715,E-coli__Carbapenems__London,0.64444715,0.7005452,xgb
2025-12-01,0.72992474,E-coli__Carbapenems__London,0.72992474,0.76424354,xgb
2025-07-01,9.782884e-05,E-coli__Carbapenems__North East,9.782884e-05,9.782884e-05,xgb
2025-08-01,9.782884e-05,E-coli__Carbapenems__North East,9.782884e-05,9.782884e-05,xgb
2025-09-01,-0.0014415465,E-coli__Carbapenems__North East,-0.0014415465,-0.0008591694,xgb
2025-10-01,0.043464225,E-coli__Carbapenems__North East,0.043464225,0.043464225,xgb
2025-11-01,9.20589e-05,E-coli__Carbapenems__North East,9.20589e-05,0.0006744355,xgb
2025-12-01,9.20589e-05,E-coli__Carbapenems__North East,9.20589e-05,0.0006744355,xgb
2025-07-01,0.12554538,E-coli__Carbapenems__North West,0.12554538,0.12554538,xgb
2025-08-01,0.08233049,E-coli__Carbapenems__North West,0.08233049,0.08233049,xgb
2025-09-01,0.07996698,E-coli__Carbapenems__North West,0.07996698,0.07996698,xgb
2025-10-01,0.13230337,E-coli__Carbapenems__North West,0.13230337,0.13230337,xgb
2025-11-01,0.13181719,E-coli__Carbapenems__North West,0.13181719,0.13181719,xgb
2025-12-01,0.15439345,E-coli__Carbapenems__North West,0.15439345,0.15439345,xgb
2025-07-01,0.13266926,E-coli__Carbapenems__South East,0.13266926,0.13266926,xgb
2025-08-01,0.07453386,E-coli__Carbapenems__South East,0.07453386,0.07453386,xgb
2025-09-01,0.07163924,E-coli__Carbapenems__South East,0.07228266,0.07163924,xgb
2025-10-01,0.07174477,E-coli__Carbapenems__South East,0.29576126,0.07174477,xgb
2025-11-01,0.07801115,E-coli__Carbapenems__South East,0.4736711,0.07801115,xgb
2025-12-01,0.07806945,E-coli__Carbapenems__South East,0.49902788,0.07806945,xgb
2025-07-01,0.07120487,E-coli__Carbapenems__South West,0.07120487,0.07120487,xgb
2025-08-01,0.08219362,E-coli__Carbapenems__South West,0.08219362,0.07697989,xgb
2025-09-01,0.11733363,E-coli__Carbapenems__South West,0.11733363,0.0694661,xgb
2025-10-01,0.111137934,E-coli__Carbapenems__South West,0.111137934,0.06815715,xgb
2025-11-01,0.09069767,E-coli__Carbapenems__South West,0.09069767,0.083235785,xgb
2025-12-01,0.091186635,E-coli__Carbapenems__South West,0.091186635,0.083487146,xgb
2025-07-01,0.13657632,E-coli__Carbapenems__West Midlands,0.13657632,0.13657632,xgb
2025-08-01,0.006350866,E-coli__Carbapenems__West Midlands,0.006350866,0.0063181813,xgb
2025-09-01,0.08414965,E-coli__Carbapenems__West Midlands,0.08414965,0.084116966,xgb
2025-10-01,0.26244265,E-coli__Carbapenems__West Midlands,0.26244265,0.26240999,xgb
2025-11-01,0.38156492,E-coli__Carbapenems__West Midlands,0.38156492,0.38153225,xgb
2025-12-01,0.38058332,E-coli__Carbapenems__West Midlands,0.38058332,0.38058332,xgb
2025-07-01,0.15521617,E-coli__Carbapenems__Yorkshire and Humber,0.15521617,0.15521617,xgb
2025-08-01,0.109322235,E-coli__Carbapenems__Yorkshire and Humber,0.109322235,0.109322235,xgb
2025-09-01,0.101104096,E-coli__Carbapenems__Yorkshire and Humber,0.101104096,0.101104096,xgb
2025-10-01,0.09390838,E-coli__Carbapenems__Yorkshire and Humber,0.09390838,0.09390838,xgb
2025-11-01,0.093662865,E-coli__Carbapenems__Yorkshire and Humber,0.093662865,0.093662865,xgb
2025-12-01,0.10127935,E-coli__Carbapenems__Yorkshire and Humber,0.10127935,0.10127935,xgb
2025-07-01,19.076096,E-coli__Ciprofloxacin__East Midlands,19.076096,19.076096,xgb
2025-08-01,19.033516,E-coli__Ciprofloxacin__East Midlands,19.033516,19.033516,xgb
2025-09-01,18.639984,E-coli__Ciprofloxacin__East Midlands,18.639984,18.639984,xgb
2025-10-01,18.927292,E-coli__Ciprofloxacin__East Midlands,18.927292,18.921741,xgb
2025-11-01,18.625427,E-coli__Ciprofloxacin__East Midlands,18.623337,18.620724,xgb
2025-12-01,19.29847,E-coli__Ciprofloxacin__East Midlands,19.296928,19.299385,xgb
2025-07-01,16.4839,E-coli__Ciprofloxacin__East of England,16.4839,16.4839,xgb
2025-08-01,17.449482,E-coli__Ciprofloxacin__East of England,17.449482,17.449482,xgb
2025-09-01,17.812252,E-coli__Ciprofloxacin__East of England,17.812252,17.812252,xgb
2025-10-01,19.022976,E-coli__Ciprofloxacin__East of England,19.022976,19.02306,xgb
2025-11-01,19.064445,E-coli__Ciprofloxacin__East of England,19.064445,19.06453,xgb
2025-12-01,18.78753,E-coli__Ciprofloxacin__East of England,18.78753,18.787561,xgb
2025-07-01,29.780418,E-coli__Ciprofloxacin__London,29.780418,29.780418,xgb
2025-08-01,28.897615,E-coli__Ciprofloxacin__London,28.897615,28.897615,xgb
2025-09-01,27.453953,E-coli__Ciprofloxacin__London,27.453953,27.453953,xgb
2025-10-01,27.643679,E-coli__Ciprofloxacin__London,27.643679,27.643679,xgb
2025-11-01,27.735159,E-coli__Ciprofloxacin__London,27.735159,27.735159,xgb
2025-12-01,26.674286,E-coli__Ciprofloxacin__London,26.674286,26.674286,xgb
2025-07-01,12.035672,E-coli__Ciprofloxacin__North East,12.035672,12.035672,xgb
2025-08-01,12.059112,E-coli__Ciprofloxacin__North East,12.059112,12.059112,xgb
2025-09-01,12.16693,E-coli__Ciprofloxacin__North East,12.16693,12.16693,xgb
2025-10-01,13.167014,E-coli__Ciprofloxacin__North East,13.167014,13.167159,xgb
2025-11-01,13.115338,E-coli__Ciprofloxacin__North East,13.115338,13.115483,xgb
2025-12-01,13.369775,E-coli__Ciprofloxacin__North East,13.369775,13.369775,xgb
2025-07-01,20.993973,E-coli__Ciprofloxacin__North West,20.993973,20.993973,xgb
2025-08-01,20.812357,E-coli__Ciprofloxacin__North West,20.812357,20.812357,xgb
2025-09-01,21.294582,E-coli__Ciprofloxacin__North West,21.294582,21.294582,xgb
2025-10-01,21.625612,E-coli__Ciprofloxacin__North West,21.625612,21.625612,xgb
2025-11-01,22.594666,E-coli__Ciprofloxacin__North West,22.594666,22.594666,xgb
2025-12-01,22.794933,E-coli__Ciprofloxacin__North West,22.794933,22.794933,xgb
2025-07-01,17.394436,E-coli__Ciprofloxacin__South East,17.394436,17.394436,xgb
2025-08-01,17.344988,E-coli__Ciprofloxacin__South East,17.344988,17.344988,xgb
2025-09-01,17.335457,E-coli__Ciprofloxacin__South East,17.335457,17.335457,xgb
2025-10-01,17.126842,E-coli__Ciprofloxacin__South East,17.126842,17.126842,xgb
2025-11-01,17.094591,E-coli__Ciprofloxacin__South East,17.094591,17.094591,xgb
2025-12-01,17.419455,E-coli__Ciprofloxacin__South East,17.419153,17.419455,xgb
2025-07-01,13.688051,E-coli__Ciprofloxacin__South West,13.688051,13.688051,xgb
