date,series_id,value,is_forecast,model
2025-06-01,E-coli__Amikacin__East of England,3.14,False,xgb
2025-07-01,E-coli__Amikacin__East of England,2.465766191482544,True,xgb
2025-08-01,E-coli__Amikacin__East of England,2.424628257751465,True,xgb
2025-09-01,E-coli__Amikacin__East of England,2.8135828971862793,True,xgb
2025-10-01,E-coli__Amikacin__East of England,3.445084810256958,True,xgb
2025-11-01,E-coli__Amikacin__East of England,3.5105814933776855,True,xgb
2025-12-01,E-coli__Amikacin__East of England,3.2404580116271973,True,xgb
2021-10-01,E-coli__Amikacin__London,1.44,False,xgb
2021-11-01,E-coli__Amikacin__London,2.05,False,xgb
2021-12-01,E-coli__Amikacin__London,2.52,False,xgb
2022-01-01,E-coli__Amikacin__London,2.54,False,xgb
2022-02-01,E-coli__Amikacin__London,2.66,False,xgb
2022-03-01,E-coli__Amikacin__London,3.03,False,xgb
2022-04-01,E-coli__Amikacin__London,2.82,False,xgb
2022-05-01,E-coli__Amikacin__London,2.05,False,xgb
2022-06-01,E-coli__Amikacin__London,1.51,False,xgb
2022-07-01,E-coli__Amikacin__London,1.51,False,xgb
2022-08-01,E-coli__Amikacin__London,2.26,False,xgb
2022-09-01,E-coli__Amikacin__London,2.32,False,xgb
2022-10-01,E-coli__Amikacin__London,2.71,False,xgb
2022-11-01,E-coli__Amikacin__London,3.15,False,xgb
2022-12-01,E-coli__Amikacin__London,3.79,False,xgb
2023-01-01,E-coli__Amikacin__London,3.43,False,xgb
2023-02-01,E-coli__Amikacin__London,3.72,False,xgb
2023-03-01,E-coli__Amikacin__London,3.86,False,xgb
2023-04-01,E-coli__Amikacin__London,4.82,False,xgb
2023-05-01,E-coli__Amikacin__London,4.16,False,xgb
2023-06-01,E-coli__Amikacin__London,4.26,False,xgb
2023-07-01,E-coli__Amikacin__London,3.71,False,xgb
2023-08-01,E-coli__Amikacin__London,3.7,False,xgb
2023-09-01,E-coli__Amikacin__London,3.77,False,xgb
2023-10-01,E-coli__Amikacin__London,3.83,False,xgb
2023-11-01,E-coli__Amikacin__London,3.72,False,xgb
2023-12-01,E-coli__Amikacin__London,3.08,False,xgb
2024-01-01,E-coli__Amikacin__London,3.25,False,xgb
2024-02-01,E-coli__Amikacin__London,3.2,False,xgb
2024-03-01,E-coli__Amikacin__London,3.19,False,xgb
2024-04-01,E-coli__Amikacin__London,3.2,False,xgb
2024-05-01,E-coli__Amikacin__London,3.96,False,xgb
2024-06-01,E-coli__Amikacin__London,3.97,False,xgb
2024-07-01,E-coli__Amikacin__London,4.26,False,xgb
2024-08-01,E-coli__Amikacin__London,3.14,False,xgb
2024-09-01,E-coli__Amikacin__London,2.75,False,xgb
2024-10-01,E-coli__Amikacin__London,2.58,False,xgb
2024-11-01,E-coli__Amikacin__London,2.44,False,xgb
2024-12-01,E-coli__Amikacin__London,2.7,False,xgb
2025-01-01,E-coli__Amikacin__London,2.58,False,xgb
2025-02-01,E-coli__Amikacin__London,2.8,False,xgb
2025-03-01,E-coli__Amikacin__London,2.65,False,xgb
2025-04-01,E-coli__Amikacin__London,2.3,False,xgb
2025-05-01,E-coli__Amikacin__London,2.12,False,xgb
2025-06-01,E-coli__Amikacin__London,2.12,False,xgb
2025-07-01,E-coli__Amikacin__London,2.6780459880828857,True,xgb
2025-08-01,E-coli__Amikacin__London,2.869819402694702,True,xgb
2025-09-01,E-coli__Amikacin__London,3.010263204574585,True,xgb
2025-10-01,E-coli__Amikacin__London,2.8486082553863525,True,xgb
2025-11-01,E-coli__Amikacin__London,3.10931134223938,True,xgb
2025-12-01,E-coli__Amikacin__London,3.0971004962921143,True,xgb
2021-10-01,E-coli__Amikacin__North East,0.0,False,xgb
2021-11-01,E-coli__Amikacin__North East,0.0,False,xgb
2021-12-01,E-coli__Amikacin__North East,0.0,False,xgb
2022-01-01,E-coli__Amikacin__North East,0.0,False,xgb
2022-02-01,E-coli__Amikacin__North East,1.08,False,xgb
2022-03-01,E-coli__Amikacin__North East,0.93,False,xgb
2022-04-01,E-coli__Amikacin__North East,0.89,False,xgb
2022-05-01,E-coli__Amikacin__North East,0.0,False,xgb
2022-06-01,E-coli__Amikacin__North East,0.0,False,xgb
2022-07-01,E-coli__Amikacin__North East,0.0,False,xgb
2022-08-01,E-coli__Amikacin__North East,0.68,False,xgb
2022-09-01,E-coli__Amikacin__North East,1.24,False,xgb
2022-10-01,E-coli__Amikacin__North East,1.34,False,xgb
2022-11-01,E-coli__Amikacin__North East,1.29,False,xgb
2022-12-01,E-coli__Amikacin__North East,0.67,False,xgb
2023-01-01,E-coli__Amikacin__North East,0.62,False,xgb
2023-02-01,E-coli__Amikacin__North East,0.65,False,xgb
2023-03-01,E-coli__Amikacin__North East,1.18,False,xgb
2023-04-01,E-coli__Amikacin__North East,2.73,False,xgb
2023-05-01,E-coli__Amikacin__North East,2.42,False,xgb
2023-06-01,E-coli__Amikacin__North East,2.26,False,xgb
2023-07-01,E-coli__Amikacin__North East,0.0,False,xgb
2023-08-01,E-coli__Amikacin__North East,0.83,False,xgb
2023-09-01,E-coli__Amikacin__North East,0.77,False,xgb
2023-10-01,E-coli__Amikacin__North East,0.81,False,xgb
2023-11-01,E-coli__Amikacin__North East,0.0,False,xgb
2023-12-01,E-coli__Amikacin__North East,4.04,False,xgb
2024-01-01,E-coli__Amikacin__North East,3.92,False,xgb
2024-02-01,E-coli__Amikacin__North East,4.67,False,xgb
2024-03-01,E-coli__Amikacin__North East,1.72,False,xgb
2024-04-01,E-coli__Amikacin__North East,3.7,False,xgb
2024-05-01,E-coli__Amikacin__North East,2.65,False,xgb
2024-06-01,E-coli__Amikacin__North East,1.87,False,xgb
2024-07-01,E-coli__Amikacin__North East,0.82,False,xgb
2024-08-01,E-coli__Amikacin__North East,0.84,False,xgb
2024-09-01,E-coli__Amikacin__North East,0.75,False,xgb
2024-10-01,E-coli__Amikacin__North East,0.8,False,xgb
2024-11-01,E-coli__Amikacin__North East,1.63,False,xgb
2024-12-01,E-coli__Amikacin__North East,2.54,False,xgb
2025-01-01,E-coli__Amikacin__North East,3.79,False,xgb
2025-02-01,E-coli__Amikacin__North East,5.47,False,xgb
2025-03-01,E-coli__Amikacin__North East,4.55,False,xgb
2025-04-01,E-coli__Amikacin__North East,2.46,False,xgb
2025-05-01,E-coli__Amikacin__North East,1.45,False,xgb
2025-06-01,E-coli__Amikacin__North East,2.31,False,xgb
2025-07-01,E-coli__Amikacin__North East,1.4626020193099976,True,xgb
2025-08-01,E-coli__Amikacin__North East,0.6466500163078308,True,xgb
