model,mae,rmse,strategy
GRU-Direct,0.20720266599456738,0.24517069297063243,Direct
GRU-Recursive,0.2148942536484588,0.2547084604587121,Recursive
LSTM-Direct,0.2213206615332193,0.2646961681193039,Direct
LSTM-Recursive,0.22138592999502618,0.2629591222989901,Recursive
