model,mae,rmse,strategy
LGBM-Direct,0.21895376657987567,0.25933837595231685,Direct
LGBM-Recursive,0.22454338522525275,0.26704290178574636,Recursive
XGB-Recursive,0.23606154643666655,0.28253925288092957,Recursive
XGB-Direct,0.24465628692707517,0.29136754512859364,Direct
