model,n_estimators,max_depth,learning_rate,mean_mae,mean_rmse,n_series
LGBM,100,,0.05,0.18264,0.21876,20
LGBM,300,,0.05,0.18264,0.21876,20
LGBM,100,,0.1,0.18264,0.21876,20
LGBM,300,,0.1,0.18264,0.21876,20
LGBM,500,,0.05,0.18264,0.21876,20
LGBM,300,,0.01,0.18264,0.21876,20
XGB,100,3.0,0.05,0.19773,0.23756,20
XGB,300,3.0,0.05,0.20004,0.23917,20
XGB,100,5.0,0.05,0.20325,0.24264,20
XGB,300,5.0,0.05,0.20524,0.24401,20
XGB,300,5.0,0.1,0.20631,0.2444,20
XGB,300,7.0,0.05,0.20861,0.24845,20
