model,mae,rmse,strategy,skill_score,vs_baseline
GRU-Direct,0.2077,0.2453,Direct,0.1562,BETTER
GRU-Recursive,0.2146,0.2552,Recursive,0.1282,BETTER
LSTM-Recursive,0.2273,0.2683,Recursive,0.0768,BETTER
Naïve Drift,0.2285,0.2898,Baseline,0.0718,BETTER
LSTM-Direct,0.234,0.2759,Direct,0.0495,BETTER
SARIMA,0.2606,0.325,Baseline,-0.0585,WORSE
TCN-Direct,0.2976,0.3434,Direct,-0.2089,WORSE
TCN-Recursive,0.3227,0.3696,Recursive,-0.311,WORSE
